GPA,gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,comfort_food_reasons_coded_[0],cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
2,Female,1,430,nill,315,1,Other,other,9,2,9,nill,Other,1,1,Other,1,1,3,3,1,1,5,Other,other,3,1,"rice  and chicken ",2,5,2,5,2,Other,Other,8,5,5,5,1,1,"rice, chicken,  soup",1,Other,5,1,1,2,5,3,1,1,1,1165,345,Motorsport,5,1,1315,187
4,Male,1,610,3,420,2,Sweets,"Stress, Boredom, Anger, ",1,3,1,1,Other,2,2,Other,1,2,2,2,4,1,2,Other,italian,1,1,"chicken and biscuits, beef soup, baked beans",1,4,4,4,5,"Vegetarian Meal",Vegetarian,3,4,4,4,1,2,"Pasta, steak, chicken ",4,"Medical Professional",4,1,1,4,4,3,1,1,2,725,690,"Team Sport",4,2,900,155
4,Male,1,720,2,420,2,Sweets,"Stress, Boredom, ",1,1,1,2,Vegetarian,2,2,"No Change",3,4,2,2,4,1,4,Other,italian,1,3,"Pasta, chicken tender, pizza ",1,4,4,4,6,"Vegetarian Meal",Other,2,6,2,5,1,1,"Chicken Parmesan, Pulled Pork, Spaghetti and meatballs ",5,Other,3,1,1,4,2,4,1,1,4,940,500,Other,4,2,760,190
2,Male,1,610,3,980,2,Beverages,"Other, ",4,3,4,nill,Other,2,2,Other,1,3,1,3,4,2,1,Other,other,6,3,"Fries, plaintain & fried fish",1,2,2,2,4,"Vegetarian Meal",Other,2,1,5,5,4,2,"Anything they'd want. I'd ask them before hand what they want to eat and it depends on which type of friend is coming.",1,Other,1,1,2,5,5,5,1,2,4,940,345,Other,1,2,1315,190
4,Female,1,610,3,420,2,Sweets,"Stress, Boredom, ",1,2,1,1,Other,3,1,"Healthier Eating",2,5,2,3,5,1,4,Other,thai,4,1,"grilled chicken, hamburgers",1,4,4,5,4,"Vegetarian Meal",Vegetarian,2,4,5,5,8,1,"Grilled chicken, steak, pizza",4,Other,4,2,2,2,5,4,1,1,5,940,690,"Team Sport",4,1,1315,180
3,Male,1,720,3,420,1,Sweets,"Stress, Sadness, ",1,3,1,1,Other,1,2,"Healthier Eating",2,5,2,2,2,2,3,Business,american,5,1,"chicken, cheesey potatoes, and hot dogs",1,5,2,3,3,"Vegetarian Meal",Other,2,5,1,3,3,1,"chicken, steak, pasta ",2,Other,4,1,1,5,1,3,1,2,1,725,500,Other,4,2,1315,137
3,Male,1,430,3,315,2,Sweets,"Stress, Sadness, Anger, ",1,3,1,1,Other,1,1,"Increased Eating",1,3,3,3,5,1,5,Other,italian,1,1,"Pasta, Eggs, Pancakes ",1,5,1,5,3,"Vegetarian Meal",Vegetarian,2,4,4,5,3,2,"pasta salad and bread",5,Other,5,1,3,3,4,3,1,1,4,580,345,Other,5,1,900,125
4,Male,1,610,3,980,2,Sweets,"Boredom, ",2,1,2,1,Other,1,2,Other,3,4,2,1,5,1,2,Other,other,4,1,Chicken,1,5,3,1,9,"Vegetarian Meal",Other,7,3,1,5,8,1,"chicken al king, spaghetti, fish",4,Other,2,3,1,2,2,1,1,1,2,940,345,"Team Sport",5,2,900,116
4,Male,1,720,4,420,2,Sweets,"Stress, Sadness, ",3,3,3,1,Vegetarian,1,1,Other,4,5,1,2,5,1,3,Other,italian,1,1,"Scalloped potatoes and ham ",1,5,2,5,1,"Balanced Meal",Other,2,5,5,5,1,2,"Chicken parm, Fish, Pasta dishes ",4,Other,5,1,1,3,5,2,1,1,5,940,500,"Individual Sport",5,1,900,110
3,Female,1,430,3,420,2,Snacks,"Boredom, Sadness, ",3,5,3,1,Vegetarian,1,2,Other,2,5,1,3,4,3,3,Other,chinese,4,3,"Pizza, chicken wings, and corn on the cob ",1,4,1,3,9,Salads,Other,1,5,3,4,9,2,"Cereal, pizza, toast ",4,Other,2,1,2,2,3,5,2,1,3,940,500,"Team Sport",3,2,575,264
